"","date","S65E_AMMONIA-N_mg/L","days"
"1689",2015-05-06,0.019,15375
"1690",2015-05-20,0.031,15389
"1691",2015-06-03,0.087,15403
"1692",2015-06-17,0.013,15417
"1693",2015-07-01,0.036,15431
"1694",2015-07-15,0.016,15445
"1695",2015-07-29,0.124,15459
"1696",2015-08-03,0.096,15464
"1697",2015-08-12,0.0556666666666667,15473
"1698",2015-08-26,0.063,15487
"1699",2015-09-09,0.064,15501
"1700",2015-09-23,0.058,15515
"1701",2015-10-07,0.107,15529
"1702",2015-10-21,0.103,15543
"1703",2015-10-26,0.056,15548
"1704",2015-11-04,0.044,15558
"1705",2015-11-18,0.134,15572
"1706",2015-12-02,0.042,15586
"1707",2015-12-21,0.108,15605
"1708",2016-01-04,0.048,15619
"1709",2016-01-20,0.078,15635
"1710",2016-02-01,0.071,15647
"1711",2016-02-15,0.027,15661
"1712",2016-02-29,0.045,15675
"1713",2016-03-14,0.044,15688
"1714",2016-03-28,0.077,15702
"1715",2016-04-11,0.033,15716
"1716",2016-04-25,0.023,15730
"1717",2016-05-09,0.052,15744
"1718",2016-05-23,0.065,15758
"1719",2016-06-06,0.08,15772
"1720",2016-06-20,0.118,15786
"1721",2016-07-06,0.05,15802
"1722",2016-07-18,0.199,15814
"1723",2016-08-01,0.067,15828
"1724",2016-08-15,0.061,15842
"1725",2016-08-29,0.159,15856
"1726",2016-09-12,0.106,15870
"1727",2016-09-26,0.08,15884
"1728",2016-10-10,0.106,15898
"1729",2016-10-24,0.088,15912
"1730",2016-11-07,0.142,15927
"1731",2016-11-21,0.078,15941
"1732",2016-12-19,0.056,15969
"1733",2017-01-09,0.062,15990
"1734",2017-01-23,0.018,16004
"1735",2017-02-06,0.009,16018
"1736",2017-02-20,0.014,16032
"1737",2017-03-06,0.015,16046
"1738",2017-03-13,0.015,16052
"1739",2017-03-20,0.014,16059
"1740",2017-04-17,0.128,16087
"1741",2017-04-24,0.043,16094
"1742",2017-05-01,0.062,16101
"1743",2017-05-08,0.01,16108
"1744",2017-06-05,0.02,16136
"1745",2017-06-12,0.009,16143
"1746",2017-06-19,0.267,16150
"1747",2017-07-05,0.291,16166
"1748",2017-07-17,0.179,16178
"1749",2017-08-01,0.211,16193
"1750",2017-08-14,0.072,16206
"1751",2017-08-28,0.097,16220
"1752",2017-09-13,0.068,16236
"1753",2017-09-25,0.09,16248
"1754",2017-10-09,0.131,16262
"1755",2017-10-23,0.11,16276
"1756",2017-11-06,0.08,16291
"1757",2017-11-20,0.118,16305
"1758",2017-12-04,0.114,16319
"1759",2017-12-18,0.075,16333
"1760",2018-01-16,0.073,16362
"1761",2018-02-12,0.098,16389
"1762",2018-03-12,0.018,16416
"1763",2018-03-26,0.015,16430
"1764",2018-04-09,0.01,16444
"1765",2018-04-23,0.018,16458
"1766",2018-05-07,0.012,16472
"1767",2018-05-21,0.087,16486
"1768",2018-06-04,0.052,16500
"1769",2018-06-18,0.12,16514
"1770",2018-07-02,0.156,16528
"1771",2018-07-16,0.056,16542
"1772",2018-07-30,0.076,16556
"1773",2018-08-06,0.024,16563
"1774",2018-08-20,0.13,16577
"1775",2018-09-04,0.126,16592
"1776",2018-09-17,0.124,16605
"1777",2018-10-01,0.111,16619
"1778",2018-10-04,0.04,16622
"1779",2018-10-15,0.093,16633
"1780",2018-10-29,0.109,16647
"1781",2018-11-13,0.044,16663
"1782",2018-11-26,0.0286666666666667,16676
"1783",2018-12-11,0.037,16691
"1784",2018-12-26,0.034,16706
"1785",2019-01-07,0.029,16718
"1786",2019-01-22,0.02,16733
"1787",2019-02-04,0.013,16746
"1788",2019-02-18,0.08,16760
"1789",2019-03-04,0.121666666666667,16774
"1790",2019-03-06,0.143,16776
"1791",2019-03-18,0.053,16787
"1792",2019-04-08,0.069,16808
"1793",2019-04-22,0.053,16822
"1794",2019-05-06,0.012,16836
"1795",2019-05-20,0.007,16850
"1796",2019-06-03,0.012,16864
"1797",2019-06-17,0.094,16878
"1798",2019-06-20,0.127,16881
"1799",2019-07-01,0.366,16892
"1800",2019-07-15,0.311,16906
"1801",2019-07-29,0.02,16920
"1802",2019-08-12,0.154,16934
"1803",2019-08-26,0.497,16948
"1804",2019-09-09,0.108,16962
"1805",2019-09-23,0.054,16976
"1806",2019-10-08,0.262,16991
"1807",2019-10-21,0.062,17004
"1808",2019-11-04,0.029,17019
"1809",2019-11-18,0.029,17033
"1810",2019-12-02,0.028,17047
"1811",2019-12-16,0.06,17061
"1812",2019-12-30,0.023,17075
"1813",2020-01-13,0.036,17089
"1814",2020-01-27,0.036,17103
"1815",2020-02-10,0.018,17117
"1816",2020-02-24,0.064,17131
"1817",2020-03-09,0.026,17144
"1818",2020-03-23,0.013,17158
"1819",2020-04-06,0.016,17172
"1820",2020-04-20,0.01,17186
"1821",2020-05-04,0.008,17200
"1822",2020-05-18,0.009,17214
"1823",2020-06-01,0.009,17228
"1824",2020-06-15,0.24,17242
"1825",2020-06-29,0.072,17256
"1826",2020-07-13,0.132,17270
"1827",2020-07-27,0.078,17284
"1828",2020-08-10,0.077,17298
"1829",2020-08-24,0.094,17312
"1830",2020-09-08,0.091,17327
"1831",2020-09-21,0.082,17340
"1832",2020-10-05,0.064,17354
"1833",2020-10-19,0.107,17368
"1834",2020-11-02,0.215,17383
"1835",2020-11-16,0.13,17397
"1836",2020-11-30,0.04,17411
"1837",2020-12-14,0.009,17425
"1838",2020-12-28,0.04,17439
"1839",2021-01-11,0.021,17453
"1840",2021-01-25,0.017,17467
"1841",2021-02-08,0.006,17481
"1842",2021-02-22,0.09,17495
"1843",2021-03-08,0.056,17509
"1844",2021-03-22,0.083,17522
"1845",2021-04-05,0.063,17536
"1846",2021-04-19,0.005,17550
"1847",2021-05-03,0.013,17564
"1848",2021-05-17,0.034,17578
"1849",2021-06-01,0.007,17593
"1850",2021-06-14,0.007,17606
"1851",2021-06-28,0.054,17620
"1852",2021-07-12,0.097,17634
"1853",2021-07-26,0.028,17648
"1854",2021-08-09,0.087,17662
"1855",2021-08-23,0.115,17676
"1856",2021-09-07,0.02,17691
"1857",2021-09-20,0.104,17704
"1858",2021-10-04,0.103,17718
"1859",2021-10-18,0.118,17732
"1860",2021-11-01,0.093,17746
"1861",2021-11-15,0.086,17761
"1862",2021-11-29,0.246,17775
"1863",2021-12-13,0.02,17789
"1864",2021-12-27,0.018,17803
"1865",2022-01-10,0.115,17817
"1866",2022-01-24,0.038,17831
"1867",2022-02-07,0.012,17845
"1868",2022-02-21,0.016,17859
"1869",2022-03-07,0.077,17873
"1870",2022-03-21,0.009,17886
"1871",2022-04-04,0.017,17900
"1872",2022-04-18,NA,17914
"1873",2022-05-02,0.068,17928
"1874",2022-05-16,0.005,17942
"1875",2022-05-31,NA,17957
"1876",2022-06-13,0.006,17970
"1877",2022-06-27,0.011,17984
"1878",2022-07-11,0.026,17998
"1879",2022-07-25,0.03,18012
"1880",2022-08-08,0.069,18026
"1881",2022-08-22,0.251,18040
"1882",2022-09-06,0.111,18055
"1883",2022-09-19,0.129,18068
"1884",2022-10-03,0.021,18082
"1885",2022-10-17,0.078,18096
"1886",2022-10-31,0.09,18110
"1887",2022-11-14,0.118,18125
"1888",2022-11-28,0.085,18139
"1889",2022-12-12,0.094,18153
"1890",2022-12-27,0.08,18168
"1891",2023-01-09,0.065,18181
"1892",2023-01-23,0.046,18195
"1893",2023-02-06,0.069,18209
"1894",2023-02-20,0.034,18223
"1895",2023-03-06,0.031,18237
"1896",2023-03-20,0.023,18250
"1897",2023-04-03,0.016,18264
"1898",2023-04-17,0.016,18278
"1899",2023-05-01,0.011,18292
